default,
まねき猫,Beckoning Cat
幸運を呼ぶと言われている猫の妖怪。優しい性格でたとえ敵相手だったとしても傷つけることを好ましく思っていない。そのため肉弾戦は苦手だが、性的な攻撃だと相手が喜んでくれるので、嬉々として行う。背丈の割に大きめな胸を活かしたパイズリが得意で、とろけた男性の顔を見るのが大好きである。,A cat yokai who is said to bring good fortune. She has a gentle personality and doesn't like hurting others; even if they're enemies. Because of this; she's no use at physical combat; but has no issues with performing sexual attacks pleasure to her opponents. Despite her small stature; she's skilled at using her sizeable breasts for paizuri (titjobs); and loves seeing entranced expressions on men's faces.
特性：「挑発」\n[1].このカードが４ターン以上フィールド上に存在していた場合、以下の効果を持つ。\n・自分ターン終了時に発動する。自分のデッキから獣タイプレベル４以下モンスターをランダムに１体特殊召喚する。\n[2].相手がモンスターを特殊召喚したときに発動する。そのモンスターに誘惑を行い、コントロールを奪う。この効果は１度しか発動できない。,Ability: 'Provocation'\n[1]. If this card has been on the field for 4 or more turns; it gains the following effect:\n At the end of your turn you may Special summon 1 random Beast-Type monster of Level 4 or lower from your deck. \n[2]. When your opponent special summons a monster; seduce that monster and take control of it. This effect can only be activated once.
[3].このカードが破壊されたとき発動する。デッキから「猫」モンスターを１体手札に加える。,"[3]. Activates when this card is destroyed. Add 1 ""Cat"" monster from your deck to your hand."
戦闘時に「おっぱいに弱い」を付与する。このカードが「おっぱいに弱い」相手から受ける戦闘ダメージが半分になる。,"Inflicts 'Breast Fetish' on foe after combat. If foe has 'Breast Fetish', this card recieves 1/2 damage dealt."
EU40_paizuriAnime,
にゃーん❤こっちを見るにゃ❤,Meow~❤ Look over here nya~❤
お兄ちゃん❤わたしお兄ちゃんと戦いたくないにゃーん❤\nこっちに来てくれたら、このおっぱいで\nいっぱい気持ちいいことしてあげるにゃん❤,Young man~❤ I don't want to fight with you nya~❤ But if you come over here; I'll use my big titties to make you purr~❤
ほら、じーっと見るにゃん❤\nおっぱいゆさゆさゆさ～♪,Ooh; you're eyeing me so intently nya~❤ Lookie at my bouncy boobies~♪
っ・・・・❤,Nngh....❤
強い意志を持って視線をそらした,Turn your gaze away...!
まねき猫のおっぱいに見とれてしまった,Her big; sexy tits are calling me...
むうぅ・・・❤\nこっち見てくれないにゃん…。\nわたしたちといいことしたくないのかにゃん…。,Mmmm...❤\nYou won't look at me nya....\nDon't you want to do nice things with us nya...?
にゃ～ん❤おっぱいじーっと見て、\n目がとろーんってなっているにゃん❤,Nyaaa~n❤ You're staring so intently at my breasts;\nyour eyes are getting all glazed over nya~❤
お兄ちゃんはおっぱいを揺らすたびに、\n一歩ずつこっちに来るにゃん。\nほら、にゃんにゃんにゃん❤,With each bounce of my breasts; you take\none step closer nya.\nCome on; nya nya nya❤
あううっ…❤おっぱいぃ…❤,Ahhh...❤ Boobs...❤
にゃん❤こっち来てくれてうれしいにゃん❤\nいっしょに戦おうにゃん❤,Meow!❤ I'm glad you decided to come-nya❤ Now we can fight together!~❤️ 
来てくれたお礼に、おっぱいでむにむにゅうってするにゃん❤,As a thank you for coming to see me; I'll knead my boobies on your face; OK?❤
あひぃっ・・・❤,
にゃーん、幸せそうな顔にゃん❤\n戦いが終わったらあとでもっといっぱいしてあげるにゃん❤,Meow! What a purrfectly happy face.❤ I'll give you more treats like this after the battle is over~❤
にゃあん❤お兄ちゃん、すっかりおっぱいにメロメロにゃ❤\nそんなんじゃ、攻撃なんてできないにゃあ❤,Meow~❤ You're really deep in love with my boobies; aren't-nya?❤ You can barely scratch a claw on me~ow.❤
お兄ちゃんのおっきくなったおちんちん❤\nおっぱいの中に入れてほしいにゃあ❤\n早く来てにゃあん❤にゃん❤,Your penis has become so big~❤\nYou should totally insert it in my boobies~❤ Come~ Hurry~❤ Meow~❤
わたしはたくさん福をまねく招き猫♪\nだからお兄ちゃんのこと幸せにしたいにゃあ❤,I am a special kind of cat gives people good fortune♪\nSo I really wanna to make you happy-meow~❤
おっぱいが大好きなお兄ちゃんを、\n簡単に幸せにできるやり方があるのにゃあ❤\nえい❤,And the easiest way to make a boobie man like you happy is like this-meow~❤ Eei❤
おっきいおっぱいでのずりずりご奉仕にゃあ❤\nおちんちん幸せかにゃ❤気持ちいいかにゃあ❤,And that's a big squishy massage with my big soft boobs-meow❤\nDoes your penis feel happy-meow?❤ Does it feel good-nya?❤
にゃあ～ん❤顔が幸せそうに蕩けているにゃあ❤\nエナジーたくさん出して、もっともっと幸せになってほしいにゃあ❤,Nyaan~❤ Your expression is pawsitively melting-nya❤ I want you to let at all your mana; and feel even happier ok-nya?❤
にゃん❤にゃん❤\nわたしのおっぱいまで来てほしいにゃん❤,Meow❤ Meow❤\nYou wanna come and see my boobs-meow?❤
おっぱい大好きなお兄ちゃんは、\nこんな風におっぱいで手招きされたら、\nきっと逆らえないにゃ❤,Big boob loving young man;\nthere is no way you can resist when my boobs beckon you in this way-meow~❤
おちんちんこの中に入れて、\nきっとたくさん幸せになるにゃん❤\nおいでおいで❤にゃあーん❤,Once your penis is between them;\nI promise you'll feel super happy and blissful❤\nCome come~❤ Meow~❤
にゃあん❤お兄ちゃん、こっち来てにゃあ❤\nそうそう、このおっぱいの間にゃ❤,Nyaan~❤ Oh young man; come right this way-meow❤ That's it; right between my boobies~❤
ここに指でも入れたら気持ちいいにゃあ❤\n指じゃなくて他のところを入れてもいいにゃ❤\nたとえば・・・。,Even putting a finger between them feels purrfect❤ And putting your finger between them isn't the only thing you can do either~❤ For example...
お兄ちゃんのおっきくなったおちんちん❤\nずぷって中に入れてほしいにゃあ❤\n早く来てにゃあん❤,...you have a wonderful stiff dick too~❤\nI want you to squish it deep between them~❤\nHurry hurry- Ahn~❤
