default,
モス,Moth Girl
わたしの鱗粉でしびれさせちゃうよ。えいやー。,Become paralyzed by my moth scales! Eei!
あれ、どうしたの？顔が赤くなってるよ？,Oh? What's wrong? Your face has turned red!
あー、前にわたしに負けたこと、思い出しちゃったんだ。それじゃあ、もう戦うのは無理かな？くすくす❤,Ah- You remembered the last time I lost to you. So then; wouldn't that make it impossible for you to continue fighting? *Giggle*❤
あんまりおっぱい大きくないけど、パイズリで気持ちよくしてあげるね。,My boobs aren't that big; but I'll still make your dick feel good between them; OK?
んっしょ、んっしょ...❤えへへ、おちんちん挟まれて気持ちいい？そのまま力抜いちゃっていいよ。,Mm Mmm; just like that~❤ Ehehe~ Does it feel good when your dick is being sandwiched between my tits? You can go ahead and relax. It's okay~.
おっぱいでおちんちんを挟んでっと…。うん、パイズリしてあげる❤,Let me put your dick between my tits and... Yes; I can start massaging it now.❤
服の上からても、けっこうおっぱいの柔らかさ伝わるでしょ？おちんちんにたくさん擦りつけてあげるね。,Even from over my clothing; you can really feel the softness of my breasts; right? I'll rub your dick against them lots.
我慢できなくなったら、服の上にたくさんかけていいからね。えへへ、出して❤出して❤,If you cant stand it anymore then you can just let it all out over my clothes. Ehehe. Come on; let it out.❤ Let it out.❤
おっぱいでおちんちん挟んであげるね。よいしょっと。,I'll put your penis between my boobs; OK? And... there.
どうかな？わたしの胸あんまり大きくないけど、ちゃんとズリズリできてるかな？んふふ、その顔、けっこう気持ちいいみたいだね❤,How is it? My boobs aren't that big; but maybe I can still rub your dick between them properly? Ufufu. Judging by the look on your face; your dick is feeling pretty good.❤
戦うのは終わりにして、そのままとろけてていいよ。胸の間にいっぱい精液出してね。,You can stop fighting and let your mind melt away. Shoot your load into my cleavage; OK?
おちんちん、手でしごいて気持ちよくしてあげる。,I'll stroke your dick with my hands and make it feel good.
こうやってぎゅってにぎって、前後に動かすんだよ。よいしょ、よいしょっ、と…❤,"I""ll grasp my hand aroud your dick like this; and move it back and forth. Like this... and this... yeah...❤"
んふ、おちんちん捕まえた。手で作った筒でしこしこしてあげるね❤,Mm; caught your dick. I'll wrap my hand around the shaft of your dick and stroke it good; okay?❤
さきっぽから根元までゆっくり、しーこしこ❤しーこしこ❤,Slowly stroking from the base to the tip~ Up and down~❤ Up and down~❤
敵の女の子におちんちん捕まえられちゃったね。ほら、しこしこー❤,Looks like your penis got caught by a female foe. Hora~ Time to stroke it good~❤
あは、手を動かすたびに体がビクビク反応しちゃってる。,Aha! Your body twitches in reaction to every movement of my hand.
わたしみたいな弱いモンスターにおちんちんいじめられて気持ちよくなっちゃうんだー。しこしこ❤しこしこ❤,I guess it ends up feeling really good when your dick is teased by a weak monster like me. Stroke stroke.❤ Stroke stroke.❤
わたし、ふともものふかふかしているところからね、\nいけない粉が出ているの。\n触ると体がびりびりして動けなくなっちゃうやつ。,You know; the soft parts of my thighs are permeated with a bad kind of pollen. If you touch it your body will get all tingly and be unable to move.
でもね、それをおちんちんにつけると、とっても気持ちいいんだって。\nおちんちんが敏感になってそのうえずーっとびりびり快楽が走っちゃうのかな？,But you know; when my pollen coats a man's dick; it feels really good. Their dicks would go all tingly and sensitive; as if it was being pleasured all the time.
一回試してみたいよね？ほら、ほら、ふとももにおちんちん入れていいよ❤,You wanna try it at least once right? Come on~ Go on~ You can put your cock between my thighs.
んふ、おちんちんふとももで捕まえちゃった。このままたくさん腰を動かしてあげるね。,Ufu. Caught your dick between my thighs. Now I'll move my hips a lot like this; OK?
ふともものお肉でたくさん気持ちよくなって？ほらほらー❤,Come on; don't you want to feel good with my soft meaty thighs? Hora hora~❤
ふとももでおちんちん挟んであげるね。ほら、むぎゅー❤,I'll sandwitch you dick between my thighs; ok? Hora; squeeze~❤
あは、挟んだとたんに腰がひくひくしちゃってる。でも、そこはおまんこじゃないんだよ。,Aha... your hips started twitching the moment I inserted your dick between them. You know it's not my pussy; right?
おちんちん気持ちよくて止まらない？ふとももの間で無駄うち射精しちゃうかな？,Is your dick unable to stop itself from feeling good? I wonder if your dick will end up uselessly shooting it's load between my thighs...?
くすくす❤わたしみたいな弱いモンスターに、\n気持ちよくしてくださいっておねだりしちゃうんだ❤\n鱗粉でおちんちんぴりぴりして、我慢できなくなっちゃった？,*Giggle*❤ So you went and started begging a weak monster like me to make you feel good~❤ Did my scales make your dick all tingley and unable to resist?
くすくす❤わたしみたいな弱いモンスターに、\n気持ちよくしてくださいっておねだりしちゃうんだ❤,*Giggle*❤ So you went and started begging a weak monster like me to make you feel good~❤
ねえ、どんなことしてほしいの？\nせっかく降参してくれたんだもん。\nわたしにできそうなことならしてあげるよ❤,Well then; what do you want me to do? Since you've gone through the trouble of surrendering to me; I'll do anything that I can for you!❤
優しいふわふわ手コキ,Gentle Fluffy Handjob
ふんわり控えめパイズリ,Soft Modest Paizuri
抱き着きふとももコキ,Cuddly Thighjob
なんでも,You decide
手で気持ちよくなりたいの？\nわかった、それじゃいっぱいシコシコしてあげるね❤,So you want my hand to make you feel good? I understand. In that case; I'd better stroke your dick lots; right?❤
え？わたしのおっぱいで挟んでほしいの？\nんー、そこまで大きくないけど、わかったやってあげるね❤,Eh? So you want your dick between my tits? Mm- They aren't very big; but I'll do what I think you want me to do!❤
ぎゅってハグしながらふとももに挟んでほしいの？\nそんなことしたら鱗粉で麻痺がひどくなっちゃうかもしれないけど\nしてほしいんだもんね❤んふふ、いいよ、やってあげる❤,So you want me to put your dick between my thighs while I embrace you tightly? My moth scales might paralyze you if I did that; but I guess can if you want me to.❤ Ufufu. Alright; I'll do it.❤
きゃ❤どぴゅって勢いよく飛んできた❤\nあんまりシコシコ耐えられなかったね❤\nわたしの手、そんなに気持ちよかった？,Kyah!❤ It just shot out in one big spurt!❤ I guess you couldn't endure me stroking you.❤ Did my hand feel that good?
わっ、おっぱいの間でびゅくびゅく脈打ってる❤\nちゃんと挟んで気持ちよくできてよかった❤,Uah; your dick is pumping out it's semen between my boobs.❤ I'm glad I was able to make your dick feel good between them.❤
