default
サキュバスメイド,Succubus Maid
EU1_MaidAPaizuri,
EU1_Maid_Cum,
乱数,
うふふ❤\n目にハートを浮かべて、すっかり魅了されてしまったようです。,Ehehe❤ Your eyes have turned into hearts❤ It seems like you have already fallen under a charme❤
追い打ちさせていただきますね。\nサキュバスのパイズリでもだえてくださいませ❤,Then; I'm going to take you down. Please writhe in the pleasures of my succubus boobjob❤
お客様、戦わなくていいんですか？\nうっとりした顔で、ポーっとしちゃって。,Sir; are you sure you don't wish to attack? You're spacing out with such an enraptured expression.
無抵抗なら楽に挟めます。\nほら甘いパイズリの快楽で、戦う力を根こそぎにしてあげますね❤,If you aren't going to resist; I can squeeze you with ease. Here you go❤ I'll make you lose all your fightings spirit with the sweet pleasure of my boobjob❤
おっぱいで挟んで戦う意志をとろけさせてあげます❤,I'll squeeze you with my breasts and melt your will to fight❤
まあ、既に魅了の魔力でメロメロみたいですけど❤くすくす❤,Oh my❤ It looks like you've already lost your mind to charm magic❤ Ehehe❤
お客様に最上のご奉仕を❤ \nほら、お胸で挟んでさしあげますね❤,Sir; please allow me to service you with all my effort❤ Here you go❤ I'll squeeze you between my breasts❤
わたしの胸でお客様にご奉仕させていただきます。,Sir; allow me to service you with my soft breasts.
やわらかい胸でしっかりと包み込んで、上下にすりすり…❤\n気持ちよさで腰を抜かさないで下さいね？,I'll tightly wrap you between them; and move up and down...❤ Please try not to fall down because of how good it feels❤
この胸で挟んでさしあげれば、\n男の方は立っていることすらできなくなります。,Every gentleman's knees end up buckling once I squeeze their penis with my breasts.
ペニスを挟んで、何度もむぎゅむぎゅ...❤\nふふ、どうぞ快楽の時間をお楽しみください。,I'll hold it between them; and squeeze it again and again...❤ Ehehe❤ Please go ahead and enjoy this world of pleasure.
わたしの胸でご奉仕してあげます,Allow me to service you with my breasts.
サキュバスのパイズリでもだえてくださいませ❤,Please writhe in the pleasures of my succubus boobjob❤
わたしの胸とてもやわらかそうでしょう？\nこれでお客様の大事なところ、挟んであげます。,My breasts look really soft; don't they? Allow me to squeeze your precious manhood between them.
甘い快楽でもみほぐされて、戦う力なんて残りませんわ。うふふ❤,It becomes impossible to hold onto your fighting spirit before my sweet and pleasureful massage❤ Ehehe❤
この気持ちよさの前なら、\nバトルなんてどっちだっていいですよね？くすくす❤,All this pleasure is making you forget all about the battle; isn't it? Ehehe❤
お客様に最上のご奉仕を❤\nほら、お胸で挟んでさしあげますね❤,Sir; please allow me to service you with all my effort❤ Here you go❤ I'll squeeze you between my breasts❤
1,
どれだけ強いモンスターでも、サキュバスの快楽の前では無力ですわ❤,Even the strongest monsters become helpless before the pleasures of succubi❤
こうして手でしごいてあげれば・・・。\nくすくす❤腰が浮いてしまっていますね❤,Once I stroke your penis like this... Ehehe❤ Your hips shot forward from it❤
この胸で顔を挟ませていただきます。\nほら、ぱふぱふ・・・❤ぱふぱふ・・・❤,Please allow me to hold your face between my breasts❤ Here: Puff-puff❤ Puff-puff❤
とろけたお顔になっていますね。\n気持ちいいですか？お客様❤,Sir; your face is becoming sloppy❤ Does this feel good?
わたしの胸、けっこう大きいですよね？,My breasts are quite large; aren't they?
この胸でお顔を挟めば、あっという間に天国ですよ？\nほら・・・❤,If I were to push your face between them; it would instantly make you feel like you're in heaven. Allow me to show you...❤
あら？おっぱい好きなんですか？それなら…❤,Oh my? Do you have a liking for breasts? In that case...❤
あは、もう終わりですね❤,Aha❤ You already finished❤
あら、意外と頑張るんですね。もっと楽しんでいってもいいんですよ？,Oh my. I didn't expect you to struggle free. It would have been fine to enjoy yourself a bit longer; you know?
