default,
ラヴァガール,Lava Girl
EU30_handJobAnime,
[1].このカードが炎属性のカードから受ける効果ダメージは半分になる。,"[1]. Effect damage this card takes from cards with the flame attribute is halved. """
[2].炎属性カードの効果で効果ダメージを受けたとき発動する。このカードの攻撃力と最大HPを300ポイントアップする。,[2]. When this card takes effect damage from the effect of a Flame Attribute card; increase this card's Attack and Maximum HP by 300 points.
[3].自分フィールド上に「溶岩地帯」がある場合、自分ターン終了時に発動する。HPを600回復する。,"[3]. If ""Lava Zone"" is on your field at the end of your turn; this card recovers 600 HP."
マグマで体ができた粘体の少女。あまり足が速くないのでフレイムキャンサーの背中によく乗って移動している。体の表面の温度はそれほど高くなく彼女に全身を抱きしめられると温泉に入ったときのように心地よいのだという。\n\n　移動が苦手な分同じ場所でじっとしていることも多く、ひまなときは溶岩を糸状に伸ばしてあやとりなどをして過ごしている。その分手先がとても器用であり、粘体の体を使って作り出した無数の手に捕まると、男は巧みな指裁きの前に何もできなくされてしまう。彼女に捕まって巣に持ち替えられてしまえば、延々とひまつぶしの道具としてもてあそばれそこで彼女と共に一生を終えることになるだろう。,A type of Slime Girl made up of magma. Since she doesn't move very fast; she often travels by riding on the back of a flame crab. The surface temperature of her body is not high; so being embraced by her is said to feel comfortable; similar to entering a hot spring. Since she is not very good at moving; she often stays in the same location. During her free time; she enjoys using her skilled fingers to stretch the lava from her body into various thread like shapes. Men caught in these thread like shapes will be unable to resist as she uses her skilled hand techniques on them. If she takes him to her nest; he will spend the rest of his life with her as a entertainment to pass the time.
わたしの手ってたくさんあるんです❤\nこれ、全部自分の思う通りに動かせるんですよ。,Look at how many hands I have!❤ I can move them all as I please too.
例えば、あなたの脇をくすぐりながら、\nおちんちんをシコシコ♪ってしてあげたり…\nそんなこともできちゃいます❤,For example; I could tickle your sides while jerking your dick up and down at the same time~♪ There's nothing I can't do.❤
やられたいですか？くすぐられながら手コキされると\n頭の中まっしろになっちゃうらしいですよ？\nほら、こしょこしょー❤,You wanna try it? I heard that if you give someone a handjob while tickling them; their mind goes blank and they can't think of anything else. Come on; don't be shy.❤
たくさんある手を使っていいことしてあげますね❤,I can do lots of nice things to you with all these hands I have.❤
おちんちんを両手でシコシコしながらぁ、\n亀さんを別の手の平でグリグリしてぇ、\nそのうえタマタマも握ってもみもみ❤,I'll use two of my hands pump the shaft up and down; while one hand rubs the tip of your dick; and another massages your balls all at the same time.❤
あは、こんなにあちこちから責められたことありませんか？\n夢心地って感じ？\nイっちゃってもいいですよぉ❤,Aha! Have you ever had all your erogous zones teased at once like this? Does it feel like you're in a dream? You can go ahead and cum if you want to~❤
あなたの手足をわたしの分身ハンドで捕まえて、\n隙だらけのおちんちんを両手でしこしこ～❤\nどうです？わたしの手コキ、気持ちいいですか？,I can capture your hands in legs with my extra hands; so I stroke your exposed dick with both hands just like this~ What do you think? Does my handjob feel good?
うふふ❤分身ハンドの拘束はあまり強くないんですけど、\nなぜかみんな振り払えないんです❤\n気持ちよくて逃げたくなくなっちゃうのかなー❤,Ufufu.❤My extra hands aren't very strong; but for some reason men just can't seem to shake them off.❤ Maybe it's because when they're feeling good they don't want to run away~❤
あなたも力抜いちゃっていいんですよ❤\nそのまま捕まっていれば気持ちよくお射精できますからね❤\nしこしこ❤しこしこ❤,You can relax too if you want.❤ If you keep letting me hold you like this you'll be able to cum and feel really good; OK? Stroke stroke~❤ Stroke stroke~❤
わたしのたくさんある手で、\nおちんちんをいっぱい弄んじゃいますねー❤,I'm going to play with your dick lots using my many; many hands; OK?❤
タマタマも棒のところもぜんぶ指でくすぐってあげます❤\nたくさんの指にこしょこしょされるのって気持ちいいんですよー❤,I'll use my fingers to tickle every part of your dick; including your balls and shaft.❤ Having so many fingers rubbing you all at once must must feel good~❤
アツアツおっぱいでサンドイッチしちゃいますね❤,I'll sandwich your dick between my piping hot boobs; OK?❤
だいじょうぶですよー。\nエッチなことするときはちゃんと火傷しない温度に下げますから。\nおっぱいでぬぷぬぷパイズリ、楽しんでくださーい❤,Don't worry~ When it comes to doing lewd things my body temperature lowers quite a bit; so please enjoy my wet and slimy boobie titfucking to your hearts content!❤
パイズリされるの好きですか？\nわたしは、おっぱいでイかせるの大好きです❤,Do you like reciving boobjobs? I love making people cum with boobjobs.❤
おっぱいで挟んで、ぱんぱんぱんって上下に動かせば、\nそれですぐおいしいエナジーが食べられるんですもん❤\n楽ちんだからあなたにもやってあげますね❤えいっ❤,That's because when I bounce my boobs up and down the length of someone's dick; delicious mana immediately comes out for me to eat.❤ It's so easy; let me show you want I mean; OK?❤ Eei~❤
溶岩の手で捕まえちゃいました。\n身動きできないあなたをパイズリしちゃいます❤,Trapped you with my lava hands! Now that you're unable to move; I'll start titty fucking your dick right away~❤
どんくさいわたしでも、\nこうすれば獲物から逃げられないんです。あたまいいでしょー。,When I do this; no prey can escape; even from a lazy person like me. Pretty clever right?
ほら腕はばんざーいしてましょうね❤\n無防備なおちんちんをおっぱいでずりずり❤ずりずり❤\nおいしいエナジーたくさんくださぁい❤,Hora; I'll cross my arms around my chest and slip my tits around your unprotected cock.❤ I'll knead my tits around your cock and give it a nice massage too; so give me all your delicious mana in return~❤
えへへ、炎の力でだいぶ強くなりました。\nこの状態のパイズリに耐えられますかぁ❤,Ehehe!~ The power of fire has greatly strengthened me. Do you think you'll be able to endure my paizuri with my boobs warm and comfortable like this...?❤
おっぱいで軽くこすってあげれば\nどんな男の子もすぐ射精しちゃうと思いますよ❤\nほら、ズリズリ❤ズリズリ❤,I think that any boy would end up ejaculating right away after I lightly rubbing them between my tits.❤ Hora; pump pump~❤ Squish squish~❤
おっぱいで挟んであげますねー❤えい❤,I'm going to put your dick between my boobs now~❤ Eei!❤
んふふ熱くなくて驚きましたか？\n意外とぬくぬくして気持ちいいんですよ❤\nあったかおっぱいの中に閉じ込めていっぱいズリズリしてあげますね❤,Ehehe. Are you surprised the temperature isn't too hot? You weren't expecting it to feel so nice and comfortable right?❤ I'll trap your dick between my warm boobs and rub it real good.❤
あは、わたしにいっぱい気持ちよくしてほしいんですか？\nおちんちんふりふりしながらおねだりして、\nかわいいですね❤くすくす❤,Aha! Do you want me to make you feel good? You're so cute wagging your penis and begging like that. *Giggle*❤
炎をいっぱい吸収して、強くなったわたしの攻撃、\nきっと気持ちよすぎてすぐに負けちゃいますよ❤\nね、どうやってイきたいか教えてください。やってあげます❤,My attacks are much stronger now after absorbing all that fire. I'm sure it'll feel so good you'll end up losing before you know it.❤ Now; tell me how you want to cum. I'll do it for you.❤
それじゃわたしのおっぱいと手、どっちでイきたいか言ってください❤\n教えてくれれば、その通りにやってあげますよ❤,Well then; my hands; or my tits? Tell me which you prefer to cum with~❤ 'll do whatever you want me to do~❤
ほかほかパイズリ,Steamy Paizuri
ほかほか多腕手コキ,Steamy Endless Handjob
なんでも,You decide
おっぱいがいいんですか？\nくす、それじゃあったかおっぱいでサンドイッチして、\n気持ちよくしてあげますね～❤,You want my tits? Kuhu. Well in that case; I'll sandwich your dick between my boobs; and make it feel real good.❤
たくさんある手でいじめてほしいんですか？\nくす、それじゃおちんちんも、乳首も脇も、\nこの手でいっぱい、こしょこしょしてあげますねー❤,You want me to tease your dick with my many hands? Kuhu. In that case; your dick; your nipples; your armpits... I'll tease and rub every bit of you with my hands~!❤
んふふっ❤おっぱいにたくさん出しちゃいましたね❤\nぬくぬく暖かくてぽわーって気持ちよくなって、\n全然我慢できなかったでしょう？,Ufufu.❤ You spilled a large amount between my boobs.❤ You couldn't resist my tits at all because of how cozy and warm they had become; right?❤
あは、気持ちよさそうにとろけた顔してます❤\nほかの人を裏切って、パイズリ頼んでよかったですね。くすくす❤,Aha; I can tell from your relaxed expression that you're feeling good.❤ You're glad you betrayed the other members in your team for my boobs; right? Teehee~❤
くすくす❤あひあひ声をあげてもがきながら、\nすぐに射精しちゃいました❤,Kuhu.❤ You came right away while moaning like a girl.❤
たくさんある手に同時に襲い掛かられて、\n頭真っ白になっちゃったでしょ？\nもう普通の手コキじゃ満足できないかもしれませんね❤くすくす❤,
ううっ、がまんできないっ❤,O-Ooh... I can't hold it in...❤
あー、自分でおちんちんしこしこしてますね～❤\nわたしの体で、そんなに興奮しちゃったんですか？,Oh no! You started stroking your dick on your own~❤ Did staring at my erotic body make you that horny?
手で触っちゃうなんてもったいないですよ？\nそのままボーっとしてれば、\nわたしが直接気持ちよくしてあげたのに❤,But it's such a shame to touch yourself don't you think? If you had kept zoning out; I would have pleasured you directly.
しこしこ、しこしこ❤根元から気持ちよさそうにこすってます❤\n体がむらむら熱くなって、オナニー我慢できなかったんですね❤\nくすくす❤,The way you stroke and rub your cock looks like it feels really good. 
どこに興奮したんですか？マグマでできた大きなおっぱい？\nそれともたくさんある手でしょうか❤,
こんな風に手を使ってエア手コキとかしてあげたら興奮しますか？\n２本の手はおっぱいを揉んで見せつけて❤\n他の手はエア手コキをしこしこしこ❤,
うふふ、おちんちん扱くのが早くなっちゃいましたね❤\n分かりやすくってかわいいです❤,
もし本当にこれだけたくさんの手に絡みつかれたら、\nおちんちん気持ちいいですよ～❤\n先っぽもたまたまも、竿も根元も、ぜーんぶしこしこしこしこ❤,
あは、想像したら頭の中真っ白になっちゃいますね❤\nそれじゃおっぱいを近づけてあげますから、\nここに出してください❤,
あなたの熱ーい精液を、わたしに向かって射精❤\nほら、とどめにタマタマを揉んであげますね❤\nむにむにむに❤,
あひぃ・・・❤,
あはん、おっぱいが白くなっちゃいました❤\nこのエナジー全部溶かしてあげますね❤,
ん、エナジーおいしい❤\nあなたのおかげで回復だけじゃなくてパワーアップです♪\nさ、どんどん強くなっていきますよー❤,
あうう、痛いです～。\n炎を直接ぶつける攻撃じゃないと吸収できないから\nもうボロボロですよー・・・。,
ねえ、わたしこんなにパワーアップしたんですよ。\nそれなのにとどめを刺しちゃうんなんてもったいなくないですか？,
炎を吸ってひとまわり大きくなったこのおっぱいとか❤\nたくさん生えて、たくさん動かせるこの手とか❤\n楽しんでからわたしを倒しましょうよ～❤,
とどめを刺さないでくれるなら、\nおちんちん、溶岩おっぱいで挟んでずりずりずりって、\n快楽で溶かしてあげますよ❤ほらほら～❤,
え？おっぱいを揺らしても無駄だって？\nそんなこと言わないで、気持ちいいことしましょ～？\nわたしのおっぱいで挟ませてくださーい❤おねがいします～❤,
ねえ、わたしの体、もっと楽しんでからとどめを刺しませんか？\nほら、谷間を見てください❤\n両腕でむぎゅうって寄せてアピールしちゃいます❤,
無視してとどめを刺した,
攻撃をやめてしまった,
あうう、そんなぁ・・・。,
あは、見逃してくれるんですか❤やった～❤,
それじゃあお礼に、わたしの溶岩おっぱいでパイズリしてあげますね❤\n射精したくないなら、我慢してもいいですよ❤\nえいっ❤,
えへへ～、すごい気持ちいいでしょう？\nどろどろの部分があるからローションみたいに滑りがいいんです❤\nでもちゃんとおっぱいの部分はぷるんぷるんになってますよ❤,
ほら、弾力がどれぐらいあるか、上下に動かして教えてあげますね～❤\nずり、ずり、ずり♪,
どうですか～、わたしのおっぱい❤\nマグマでできてるなんて信じられないぐらいに張りがあって、\n普通の女の子おっぱいよりも気持ちいいでしょう？,
固さは自分の思い通りにできるので、\nわたしのマスターのおっぱいを参考に、\nそれよりちょっと柔らかめにしてあるんです❤,
ほら、ほら、ほら、ほら❤\nリズムよく跳ねさせれば、気持ちよすぎて\nお兄さんもあっという間に腰砕けですね❤,
分身ハンドを使って、乳首もついでに弾いてあげます♪\nくすくす❤びくびくしちゃっておもしろい❤\n谷間の中に全部出してください❤ずりずりずり❤,
はひぃ・・・❤,
あん❤見てください、おっぱいが真っ白です❤\nあなたのエナジー、とってもおいしいですね❤,
んふ、吸収したらもっとパワーアップしちゃいました❤\nこれでさらに男の人を気持ちよくできちゃいますよー❤,
おっぱいに挟まれて逆転負けしちゃいましたね❤\n強いマスターさんなのに、胸に弱いなんてかわいいです❤,
オナニーで自分からエナジーくれてありがとうございます❤\nわたしお兄さんみたいにすぐ負けてくれる人だーいすきですよ❤,
あん、パイズリされておちんちん谷間にこんなにお漏らししちゃいました❤\nおいしいエナジーをありがとうございます❤くすくす❤,
あは、手コキで出しちゃいましたね❤\nわたしの分身ハンドは気持ちよかったですか？くすくす❤,
フレアの使う女性モンスターに敗れた僕は、エナジーを奪われ膝をついて動けなくなっていた。,
ううっ…。,
うふふ❤腰が抜けて立ち上がれないみたいですね❤\nあなたのエナジーおいしかったので、\nもっともらってもいいですか？,
だいじょうぶ、立てなくてもわたしが支えてあげますよ❤\nほら・・・❤,
うあっ・・・❤腕がからみついて来てっ❤,
バンザーイって吊り上げられちゃいましたね❤\nほどよい温度にしてあるので、\n乳首とかお尻とかあったかくて気持ちいいでしょう？,
でも、そんなところよりも、ここをなでてもらえるのが、\n一番うれしいんですよね❤,
ぐちゅぐちゅぐちゅ❤しこしこしこ❤\nうふふ❤さっき出したばかりなのに、\nもうこんなに気持ちよさそうに震えてます❤,
また射精したいですか？\nエナジーを女のモンスターに搾り取ってほしいですか？,
我慢すればきっと、今日はまだバトルができますけど、\nたくさん出しちゃうと、今日一日もう動けなくなっちゃいますね❤,
それでもおちんちんからびゅーってしたいですか？\nしこしこしこ❤しこしこしこ❤,
あは、こするたびにとっても元気に跳ねちゃってます❤\nおちんちん気持ちいいんですね❤\nどうします、射精します？,
ほら先っぽが膨らんで、イく準備万端です❤\nこの膨らんでるカリのところをごしごしごしってされたら、\n頭まっしろですよね❤,
出していいですよ❤マスターさん❤\nわたしのおっぱいめがけて、白い精液かけてください❤\nしこしこしこしこ❤,
うふふ❤たっぷり出しちゃいましたね❤\n二回目なのにすごく濃くて、魔力もおいしいです❤,
それじゃこの精液も吸収してっと・・・❤,
えへへ、わたしまた強くなっちゃいました❤\nほらぁ、あなたが出せば出すほど、どんどん強くなって、\n手コキもパイズリももっと気持ちよくなっちゃいますよ❤,
気持ちよすぎるのがいやなら頑張って逃げてください❤\nまあ逃げたくなんてないと思いますけど❤,
だってその顔。くすくす❤\nとっても蕩けて、「もっと気持ちよくしてぇ」って表情になってます❤\nおちんちんしこしこ、またしてほしいんですよね❤,
それじゃ空っぽになるまでたくさん射精しましょうね❤,
今日はこれでバトルはおしまいです❤\nカードを１枚も使えなくなるぐらい魔力を出して、\nぜんぶわたしに食べさせてください❤,
しこしこしこ❤しこしこしこ❤\nあはは、また膨らんできましたよ❤,
こんなに早くイキそうになるなんて、\nわたしの手コキ、好きになっちゃいましたか？,
わたしはどんどん強くなるのに、\nあなたは逆にどんどん弱くなっちゃいますね❤,
ほら、ちょっと早くしごいてあげれば、すぐ射精しちゃう❤\nくすくす❤簡単にイってくれる男の子は好きですよ❤\n出して、出して❤,
こうして僕は気絶するまで精を搾りとられてしまったのだった。,
