default
お嬢様サキュバス,Elegant Succubus
EU60_handJobAnime,
　転移魔術が使えるエリートなサキュバス。優れた血統に生まれた自分に誇りを持っており、人に守ってもらうのが当然だと思っている。戦闘能力は決して高くないが、仲間の陰に隠れながらこちらの指揮官を直接攻撃することができ、想像以上に厄介な相手である。,An elite succubus who can use teleportation magic. She takes pride in her noble lineage and believes it only natural for others to protect her. Though her combat ability is nothing exceptional; she is able to hide behind her allies while targeting the cardmaster directly; making her a formidable opponent who is not to be underestimated.
\n　基本的に自分勝手な性格で召使いを大事にすることもないが、粗暴なふるまいとは裏腹にその手さばきは繊細であり、男の反応を知り尽くした動きで、彼女のことを気に入らないと思っている相手でさえ簡単に「喜ばせて」しまう。彼女の手に弱点をつかまれてしまえば、どんなリーダーであれ冷静な思考を保つことは難しいだろう。[1].このカードが場に出たとき発動する。デッキからこのカード名以外の「サキュバス」モンスターをランダムに１枚手札に加える。,\n She is quite selfish and dismissive of her servants; but although her behavior is crass; she is refined in her hand movements. An expert on men's reactions; she can easily "pleasure" even those who despise her. Any leader whose weakness is discovered by her will find it difficult to maintainn their composure. [1] When this card enters the field, you may add 1 random Succubus monster from your deck to your hand, except this card's name.
[2].このカードは相手プレイヤーに直接攻撃できる。自分フィールド上に「<color=#fd7e00><u><link="10060">Elegant Succubus</link></u></color>」以外のモンスターがいる限り、相手はこのモンスターを攻撃対象に選択できない。,[2] This card can attack your opponent directly. While you control a monster other than 「<color=#fd7e00><u><link="10060">Elegant Succubus</link></u></color>」; this monster cannot be selected as an attack target.
[3].自分フィールド上にこのカード以外のモンスターが存在しない場合、ターン終了時に発動する。デッキからこのカード名以外の「サキュバス」モンスターをランダムに１体特殊召喚する。,[3] If you control no other monsters except this card at the end of your turn, you may special summon 1 random Succubus monster from your deck, except this card's name.
(魅了状態のモンスターとの戦闘後、「身代わり」を付与する。),(After combat with a charmed monster; grants "Decoy")
あら❤理性が弱いのね。所詮は庶民ということかしら。\nわたしのマスターの胸、そんなに見つめてバカみたい❤,Ara~❤ What a weak mind you have. You are merely a commoner; after all. You look so foolish; staring at my master's chest like that.❤
アナタがおっぱいに見とれている間に、\n遠くからペニスをいじめさせてもらうわ。\n好きなだけアホ面さらしておっぱい見てなさい❤,
クス❤手の中ですごく固くなってる。\nほんの数回しごいただけよ❤\nもうイきそうなんだ？早漏❤,*Giggle*❤ It got so hard in your hands after only a few strokes.❤ Are you already about to cum? Premature ejaculator~❤
とどめ刺してあげるわ❤\nわたしの小さい手で、カリ首の裏を、\nほら、細かくシコシコシコシコ❤耐えられないでしょ？イ・ケ❤,Allow me to finish you off.❤ Using these small hands of mine; I shall stroke the tip of your penis. Here; I'll stroke it gently.❤ It feels unbearable; doesn't it? Go~ahead~❤  
