default
鍛冶師ノーム,Blacksmith Gnome
EU62_paizuriAnime,
鉱石を掘り出し加工するのが得意なノーム。宝石に限らず、鉄や銀などの金属も上手に扱う。,A gnome skilled at the mining and processing of ores. She's an expert at handling not only gems; but metals like iron and silver as well.
\n　ノームには珍しく胸が大きく、パイズリが得意。鍛冶で鍛えたその腕力で、重たい胸も軽々扱い、挟み込んだ男性器をズリズリと揉みつぶしてくる。テクニックよりもおっぱいの威力をそのままぶつけてくるようなパイズリに、腰砕けにされないよう意思を強くもたなくてはいけない。,Her breasts are unusually large for a gnome; and she excels at paizuri. With arm strength forged through smithing; she can easily wield her heavy breasts; crushing the penis of any man trapped between them with rough; grinding motions. Rather than relying on technique; it's a paizuri that unleashes the raw power of her breasts; requiring strong willpower to avoid having your hips give out.
[1].このカードが召喚に成功したとき発動する。デッキから地属性モンスターカードをランダムに１枚手札に加える。,[1]. When this card is summoned; add 1 random Earth attribute monster from your deck to your hand.
[2].１ターンに１度、自分が「ジェム」カードを発動したときに発動する。その発動したカードとは別名の「ジェム」カードを、ランダムにデッキから１枚手札に加える。,[2]. Once per turn; when you activate a "Gem" card; add 1 random "Gem" card with a different name than the one activated from your deck to your hand.
[3].このカードが受ける戦闘ダメージ・効果ダメージは自分の墓地に存在する「ジェム」カードの種類×50ポイントダウンする。,[3]. Battle damage and effect damage this card receives is reduced by 50 points x the number of "Gem" cards with different names in your graveyard.
あたしのおっぱいでかいだろ？\nこれで挟んだら気持ちいいぜー❤,My tits are pretty huge; huh? If I crushed you with these; I bet it'd feel amazing~❤
あんたのチンポぐらいなら、先っぽも見えなくなるだろうな。\nほら、ぜーんぶおっぱいの中に閉じ込めてやるよ。\nずっぷん❤,Your cock is small enough that the tip would just disappear completely. Watch; I'll trap it in my chest from base to tip. Schlup❤
鉱石堀りは筋肉を使うからな、\n胸の筋肉がムキムキになることが多いんだが、\nあたしはおっぱいばかりおっきくなっちまった。,Mining ore uses a lot of muscle. Normally that'd make someone's chest muscles huge; but mine just made my tits grow bigger instead.
でもま、この胸も使いようだよな❤\nチンポ挟んでずりずりするには、\nだいぶ便利だぜ？,But hey; these breasts have their uses; too~❤ They're pretty convenient for trapping cocks and stroking them; don't ya think?
あたしの頭ぐらいあるこのおっぱいで、\nチンポをむぎゅっと捕まえて、激しく上下に揺らしてやるんだ。\nアンタにもやってやるよ。速攻で天国を見れるぜ❤えい❤,I use these tits as big as my head to catch cocks in a tight embrace and pump them hard. I'll do it to you; too. You'll see heaven in no time~❤ Hyah!❤
あたしの背の高さだと、\nちょうどアンタのチンポが胸の高さに来るんだよな。\nふつうに立っているだけで、パイズリ準備OKってわけだ。,At my height; your cock's right at chest level. Just standing normally puts me in perfect paizuri position.
ほら、このまま近づいていけば、それだけでおっぱいに挿入できるぜ。\n嫌なら逃げろよ？逃げないとおっぱいにずぷって\nチンポ埋まっちまうからな？,Watch; if I just walk closer like this; I can slip your cock between my breasts. You better run if you don't want it; got it? If you don't escape; your cock will get buried between my tits.
くくっ、足が動かなかったか？\n揺れるおっぱいガン見して棒立ちになりやがって、\nこの、すけべ❤,Kukuku; what's wrong? Can't move your legs? You're standing there frozen; staring at my bouncing tits. You pervert!❤
うりうり❤どうだ？気持ちいいか？\nアンタが逃げなかったおかげで、\nチンポが天国見れたんだぜ❤よかったな～❤,There we go~❤ How's that? Feel good? Since you didn't even try to run; your cock got to see heaven!❤ Lucky you~❤
あたしにズリズリされるたびに喘ぎ声あげちまってよ、\nあんたよっぽどのおっぱい好きだろ？\nそんなやつが、パイズリから逃げられるわけねえよなぁ❤,You're moaning every time I stroke you. You must really love tits; huh? A guy like that could never escape from my paizuri~❤
ほらほら、早く振り払わねえと搾り取られちまうぜ？\nBランクマスターさまが、下級モンスターのおっぱいで\nされるがままに射精❤いいのかぁ、そんな負け方で❤,Come on; hurry up! You better shake me off quick or I'll milk you dry. A B-rank master; cumming helplessly from a low-level monster's tits…❤ Are you really OK losing like that?❤
ほらほら、早く振り払わねえと搾り取られちまうぜ？\n上級モンスターさまが、下級モンスターのおっぱいで\nされるがままに射精❤いいのかぁ、そんな負け方で❤,Come on; hurry up! You better shake me off quick or I'll milk you dry. An advanced-level monster; cumming helplessly from a low-level monster's tits…❤ Are you really OK losing like that?❤
ほらほら、早く振り払わねえと搾り取られちまうぜ？\nあたしみたいな小娘のおっぱいでされるがままに射精❤\nいいのかぁ、そんな負け方で❤,Come on: hurry up! you better shake me off quick or I'll milk you dry? Cumming helplessly from the tits of a girl half your size…❤ Are you really OK losing like that?❤
気持ちよくイかせてやるよ❤\nおっぱいでチンポ揺さぶられて、\n頭まっしろになっちまいな❤,I'll make you cum nice and good~❤ I'll grind your cock with my tits until your mind goes completely blank!❤
さらしでぎちぎちのおっぱいに、\nチンポ入れてみたくねえか？\nま、嫌だって行っても入れちまうんだけどよ❤,Don't you want to stick your cock inside these tight; bandage-wrapped tits? Well; even if you say no; I'm gonna put it in anyway!❤
ほら、根元まで丸ごと挟まれた感覚はどうだ？\nやわらかーいおっぱいに、乳圧でみっちり潰されて、\nチンポの芯から溶けそうだろ？,There; how's it feel being trapped from base to tip? My soft tits crushing you with such crazy pressure makes you feel like your cock might melt completely; right?
あっという間に顔がとろとろだな❤\n挟んだだけでそんなに気持ちよくなったら、\n動かされて耐えられるのか？ほら、うりうりうり❤,Your face went all slack so fast!❤ If just being caught feels this good; can you handle it when I start moving? Let's find out. Squeeze squeeze squeeze~❤
ノームってのはみんな背が小さいんだが、\nあたしみたいにおっぱいがデカいやつは珍しいんだぜ。\n見ろよ、この巨乳❤,All us gnomes are short; but ones with huge tits like me are really rare. I mean; look at these massive things!❤
さらしで押さえつけてもこのサイズ❤\n片方でもあたしの頭よりでかいんだぜ。\nほら、両手でぎゅって押さえてゆさゆさしたら、えっろいだろ❤,Even wrapped up tight in bandages; they're still this big.❤ Each of them is bigger than my head. Look; when I grab them with both hands and bounce them like this; isn't it super sexy?❤
あはは、鼻の下伸ばしちまって、わかりやすいなぁ❤\nいいぜ、これ見ながらシコれよ❤この爆乳の谷間に\nどぴゅって射精したら気持ちいいぜ。ほら、ほら、ほら・・・❤,Ahaha; you're drooling! You're so obvious.❤ Go on; you should touch yourself while you watch my tits bounce.❤ I bet it'll feel amazing to shoot your load all over my massive cleavage. Come on; that's it; keep watching...❤
あん？なんだ、あたしに気持ちいいことしてほしいのか？,Hm? What; you want me to make you feel good?
はっ、あたしのマスターみたいな「いい女」もいるってのによ、\nあたしみたいなチビにおねだりするとか\nお前もいい性癖してるぜ❤,Hah; even though there are "real women" like my master around; you're begging a shortstack like me? You've got some weird interests.❤
背が小さくておっぱいが大きいやつが好きなのか？このロリコン❤\nほら、何をしてほしいか言ってみろよ。\nどうせこのおっぱいで気持ちよくなりてぇんだろ？,You like short girls with big tits? What a perv!❤ Alright; tell me what you want me to do. You want to feel good with these tits; don't you?
土妖精のぎちぎちパイズリ,Earth Spirit's Tight Paizuri
土妖精の谷間見せつけ,Earth Spirit's Cleavage Tease
なんでも,You decide
やっぱり、この胸に挟んでこすってほしいのか❤\nいいぜ、お前のチンポ、さらしの中に突っ込んで、\nみちみちに締め付けながらパイズリしてやるよ❤,So you want me to squeeze and rub you with my tits.❤ Fine; I'll shove your cock into my bandages and give you a paizuri while crushing you tight~❤
あん？おっぱい揺らすのを見せてほしい？\nぷぷっ、おいおいわざわざおねだりするのがそんなことかよ❤\nロリコンなだけじゃなくて、趣味もだいぶ変わってんな。,Hm? You want to watch my tits bounce? Hehe; seriously; that's what you're begging for?❤ You're not a normal perv; are you? Your tastes are extra weird.
いいぜ。そこまで頼まれちゃ断るのもかわいそうだ。\n胸を揺らしてやるから、おかずにしてシコっちまいな❤,Fine. If you're gonna beg that much; it'd be mean to say no. I'll bounce my tits for you; so just sit back and touch yourself~❤
あは❤谷間ん中でびゅくびゅくって脈打ってやがるぜ。\n暴れすぎだろ❤よっぽどチンポ気持ちよかったらしいな❤,Aha~❤ Your cock's throbbing and pulsing between my cleavage. It's going crazy!❤ Your dick must have felt amazing; huh?❤
ロリコンでおっぱいフェチのアンタには、\nこの巨乳はたまらなかったか？おら、中身全部出せるように\nぎゅーって押しつぶしてやる。最後まで出し切りな❤,For a pervy tit-fetishist like you; these huge boobs were irresistible; huh? Here; I'll squeeze them together so you can cum every last drop. Shoot it all out❤
おお、出てる出てる❤\n乳揺れ見ながらシコるのは気持ちよかったか？この変態❤\n勢いよく飛ばしやがっておっぱいがベトベトじゃねえか❤,Ooh; it's coming out!❤ Did it feel that good just stroking yourself while watching my tits bounce? You perv!❤ You shot it so hard you got my tits all sticky~❤
谷間にかけていいとは言ったが、はは、すげぇ量だな❤\n今が試合中とかそんなこと全部頭からすっ飛んで、\n敵にエナジー貢ぎやがって。このおっぱいマゾ❤,I said you could cum on my cleavage; but haha; that load was huge!❤ You totally forgot we're mid-battle and gave all your energy to the enemy. What a tit-masochist❤
ううっ・・・❤ダメなのに・・・❤,Uugh…❤ I shouldn't...❤
あん？のこのこ近づいて来たと思ったら、一体何を・・・。\nって、アンタ、もしかして自分の手でシコってるのか？,Hm? What's up? You just came wandering over here; what are you... Wait; are you touching yourself?
おいおい。無敗のルーキーとか言われてるのに、\nあたしみたいなチビに発情して自滅するのかよ❤\nこの変態❤,Jeez! They call you the undefeated rookie. Are you seriously getting horny over a shortstack like me and throwing the match away?❤ You pervert!❤
おいおい。無敗のルーキーのモンスター様が、\nあたしみたいなチビに発情して自滅するのかよ❤\nこの変態❤,Jeez! Is the undefeated rookie's monster seriously getting horny over a shortstack like me and throwing the match?❤ You pervert!❤
背が低くておっぱいが大きい、こういう体型が好きなのか？\n上から見下ろしたら絶景だもんなぁ。ロリコンにはたまらなかったか？,You like this body type? Short with big tits? The view from up there is pretty spectacular. Must be irresistible for a perv like you; huh?
歩いたり跳ねたりするたび、\nおっぱいがアンタのチンポの高さでばるんばるん揺れて、\n見てるだけで、なんだかパイズリでもされてるみてえな気分になって・・・❤,Every time I walk or hop; my tits jiggle at exactly your cock's height. I bet just watching makes you feel like you're getting titfuck...❤
何もされなくてもチンポはギンギン❤\nシコシコさわるの我慢できなくなっちまったってわけだ❤\n情けねえー。,Your cock gets rock hard without me having to do anything.❤ You just couldn't resist the urge to stroke yourself~❤ Pathetic!
うぐぅ・・・❤,Ughh...❤
あはは❤いまあたしが、パイズリって言っただけで、\nチンポ反応しちまってるぜ❤\n分かりやすいチョロチンポだな。,Ahaha~❤ Just me saying "titfuck" made your cock twitch!❤ What an easy little prick.
なあ、せっかくだから\nこの谷間にチンポ突っ込みながらシコってみるか？\n先っぽを谷間に埋めちまうんだ。,Hey; since we're here; why don't you try stroking yourself while shoving your cock head in my cleavage? Just bury the tip between my tits.
その状態でチンポをしこしこしこーってしたら最高だぜ？\nアンタみたいな弱いチンポじゃ、\nきっとすぐイっちまうだろうな❤,Stroking your cock like that would be the best; dontcha think? A weak cock like yours would probably cum in an instant!❤
ほら、さらしをつかんで入れやすいように胸を持ち上げてやるよ❤\n谷間の下から差し込みな。\nそう、ゆっくりとだ・・・❤,Here; I'll grab my bandages and lift my tits to make it easier to get in.❤ Go on and slide it in from the bottom. That's it. Nice and slow...❤
先っぽが谷間ににゅぷにゅぷと入り込んで、\n両側からみっちり圧迫されて、\nどうだたまらねえだろ❤,Your tip is sliding into my cleavage! It's making such wet sounds while getting crushed tightly from both sides. It's pretty unbearable; ain't it?❤
